30,990.00,21.06,915.94,60.71,21.24,915.06,28726,-0.15,1.57,9.73,-0.29,0.14,0.03,-5.56,5.94,-0.31,10.69,-11.25,-39.06,348.44,0.81,8.31,0.99,0.07,0.00,0.10,2020,8,2,0,0,46,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-38.40,21.93,a,-40.51,20.95,a,81.54,20.46,a,-36.30,20.85,fin
34,1000.00,21.06,915.94,61.17,21.23,915.06,28979,0.07,0.91,9.88,-0.03,0.24,0.10,0.69,4.31,-0.31,13.06,-6.38,-38.25,347.38,0.56,3.88,0.99,0.03,-0.00,0.11,2020,8,2,0,0,50,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-35.25,21.93,a,-39.46,20.95,a,77.33,20.46,a,-36.30,20.85,fin
36,1010.00,21.07,915.93,60.52,21.22,915.06,28996,1.22,0.66,9.37,0.75,0.15,-0.40,2.31,-4.12,-0.94,13.00,-7.38,-38.06,347.56,2.69,3.00,0.99,0.03,-0.02,0.11,2020,8,2,0,0,52,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-36.30,21.93,a,-39.46,20.95,a,81.54,20.46,a,-36.30,20.85,fin
38,1020.00,21.08,915.93,60.96,21.23,915.05,29023,-0.09,1.06,9.67,-0.19,-0.26,-0.03,0.31,16.81,-2.50,15.06,-10.25,-37.06,348.06,0.56,7.69,0.99,0.07,0.00,0.10,2020,8,2,0,0,54,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-41.56,21.93,a,-40.51,20.95,a,81.54,20.46,a,-37.35,20.85,fin
40,1030.00,21.08,915.92,60.52,21.23,915.05,29059,-0.21,0.79,9.69,-0.03,-0.34,-0.04,-5.56,2.38,0.31,15.06,-9.50,-38.19,348.12,-1.00,6.62,0.99,0.06,0.02,0.10,2020,8,2,0,0,56,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-38.40,21.93,a,-39.46,20.95,a,78.39,20.46,a,-36.30,20.85,fin
43,1040.00,21.09,915.88,60.57,21.24,915.04,29123,-0.28,0.94,9.70,-0.02,0.44,-0.08,1.12,-3.44,-0.44,12.56,-4.06,-39.00,347.50,-1.50,2.88,0.99,0.02,0.02,0.11,2020,8,2,0,0,59,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-38.40,21.93,a,-40.51,20.95,a,79.44,20.46,a,-36.30,20.85,fin
45,1050.00,21.10,915.93,61.34,21.24,915.04,29202,-0.08,0.49,9.73,0.11,0.14,-0.06,1.19,-1.31,0.31,13.25,-3.00,-37.56,347.50,-1.19,2.00,0.99,0.02,0.01,0.11,2020,8,2,0,1,2,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-41.56,21.93,a,-39.46,21.05,a,78.39,20.46,a,-36.30,20.85,fin
46,1060.00,21.12,915.89,61.19,21.25,915.03,29241,-0.25,0.17,9.74,-0.05,-0.09,-0.05,-0.38,0.31,-0.06,12.56,-2.56,-38.25,347.50,-1.12,1.56,0.99,0.01,0.01,0.11,2020,8,2,0,1,3,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-40.51,21.93,a,-40.51,20.95,a,78.39,20.46,a,-36.30,20.85,fin
47,1070.00,21.13,915.91,61.01,21.26,915.04,29299,-0.08,0.25,9.73,0.09,0.01,-0.06,0.00,-0.25,0.00,12.19,-2.25,-37.88,347.50,-1.06,1.38,0.99,0.01,0.01,0.11,2020,8,2,0,1,4,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-41.56,21.93,a,-42.61,21.05,a,81.54,20.46,a,-34.20,20.85,fin
49,1080.00,21.14,915.92,61.19,21.27,915.04,29328,-0.14,0.18,9.79,0.04,-0.03,0.00,0.38,0.06,0.00,11.88,-3.00,-37.88,347.50,-1.06,1.25,0.99,0.01,0.01,0.11,2020,8,2,0,1,6,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-40.51,21.93,a,-42.61,21.05,a,78.39,20.46,a,-36.30,20.85,fin
51,1090.00,21.14,915.92,60.81,21.26,915.03,29366,-0.21,0.18,9.76,0.00,-0.07,-0.03,0.75,0.25,-0.06,11.88,-1.88,-37.56,347.50,-1.31,1.44,0.99,0.01,0.01,0.11,2020,8,2,0,1,8,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-41.56,21.93,a,-42.61,21.05,a,79.44,20.46,a,-37.35,20.85,fin
53,1100.00,21.16,915.89,60.61,21.28,915.03,29420,-0.19,0.27,9.74,0.09,-0.02,-0.05,0.44,0.50,0.00,12.56,-2.25,-38.25,347.50,-1.69,1.75,0.99,0.01,0.02,0.11,2020,8,2,0,1,10,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-40.51,21.93,a,-39.46,21.05,a,79.44,20.46,a,-39.46,20.85,fin
56,1110.00,21.17,915.89,60.80,21.28,915.03,29454,-0.25,0.30,9.83,0.08,0.00,0.04,0.12,-0.06,0.00,12.56,-3.38,-37.00,347.50,-1.94,1.75,0.99,0.01,0.02,0.11,2020,8,2,0,1,12,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-40.51,21.93,a,-40.51,21.05,a,79.44,20.46,a,-36.30,20.85,fin
58,1120.00,21.18,915.91,61.08,21.30,915.03,29496,-0.12,0.41,9.79,0.22,0.12,0.00,0.50,0.50,0.06,13.19,-3.75,-37.38,347.50,-2.00,1.69,0.99,0.01,0.02,0.11,2020,8,2,0,1,14,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-40.51,21.93,a,-40.51,21.05,a,79.44,20.46,a,-36.30,20.85,fin
59,1130.00,21.19,915.90,60.97,21.31,915.02,29515,-0.38,0.20,9.71,0.00,0.00,-0.07,-0.81,1.44,0.19,13.19,-3.38,-37.38,347.50,-2.19,1.19,0.99,0.01,0.02,0.11,2020,8,2,0,1,15,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-38.40,21.93,a,-42.61,21.05,a,78.39,20.46,a,-36.30,20.85,fin
60,1140.00,21.20,915.87,61.13,21.32,915.01,29523,-0.22,0.11,9.82,0.14,-0.02,0.02,0.06,0.69,0.12,12.50,-2.25,-37.00,347.50,-2.19,0.81,0.99,0.01,0.02,0.11,2020,8,2,0,1,16,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-38.40,21.93,a,-40.51,21.05,a,79.44,20.46,a,-34.20,20.85,fin
61,1150.00,21.21,915.89,61.08,21.32,915.00,29559,-0.43,0.17,9.76,-0.02,0.01,-0.03,0.12,-0.75,0.12,13.19,-2.25,-37.69,347.50,-2.38,0.88,0.99,0.01,0.02,0.11,2020,8,2,0,1,17,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-38.40,22.03,a,-40.51,21.05,a,78.39,20.46,a,-39.46,20.85,fin
62,1160.00,21.21,915.88,60.90,21.33,915.00,29594,-0.41,0.03,9.77,0.00,-0.20,-0.02,-1.12,0.06,0.06,13.19,-1.88,-37.38,347.50,-2.38,1.38,0.99,0.01,0.02,0.11,2020,8,2,0,1,18,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-38.40,21.93,a,-39.46,21.05,a,78.39,20.46,a,-36.30,20.85,fin
64,1170.00,21.22,915.88,60.69,21.32,915.00,29612,-0.47,0.21,9.73,0.00,-0.03,-0.05,-0.12,0.00,0.00,15.06,-2.56,-36.50,347.50,-2.75,1.44,0.99,0.01,0.03,0.11,2020,8,2,0,1,20,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-36.30,21.93,a,-39.46,21.05,a,79.44,20.46,a,-37.35,20.85,fin
66,1180.00,21.22,915.88,60.33,21.33,915.00,29634,-0.43,0.24,9.78,0.05,-0.01,-0.01,0.12,0.00,0.00,13.19,-2.56,-38.00,347.50,-2.81,1.50,0.99,0.01,0.03,0.11,2020,8,2,0,1,22,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-38.40,21.93,a,-40.51,21.05,a,78.39,20.46,a,-36.30,20.85,fin
70,1190.00,21.23,915.88,60.35,21.36,915.00,29661,-0.46,0.13,9.75,0.01,-0.12,-0.03,0.00,-0.25,0.00,-0.25,-19.75,-47.38,347.50,-2.81,1.50,0.99,0.01,0.03,0.11,2020,8,2,0,1,26,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-40.51,21.93,a,-40.51,21.05,a,78.39,20.46,a,-36.30,20.95,fin
